time,glucose
1679553960,85.0
1679554260,79.0
1679554560,74.0
1679554860,72.0
1679555160,62.0
1679555460,62.0
1679555760,74.0
1679556060,86.0
1679556360,89.0
1679556660,90.0
1679556960,97.0
1679557260,100.0
1679557560,100.0
1679557860,103.0
1679558160,111.0
1679558460,120.0
1679558760,129.0
1679559060,131.0
1679559360,131.0
1679559660,127.0
1679559960,117.0
1679560260,107.0
1679560560,101.0
1679560860,104.0
1679561160,108.0
1679561460,115.0
1679561760,124.0
1679562060,131.0
1679562360,133.0
1679562660,132.0
1679562960,131.0
1679563260,125.0
1679563560,117.0
1679563860,113.0
1679564160,110.0
1679564460,107.0
1679564760,108.0
1679565060,109.0
1679565360,107.0
1679565660,105.0
1679565960,106.0
1679566260,106.0
1679566560,103.0
1679566860,101.0
1679567160,99.0
1679567460,97.0
1679567760,94.0
1679568060,92.0
1679568360,90.0
1679568660,87.0
1679568960,84.0
1679569260,82.0
1679569560,81.0
1679569860,81.0
1679570160,82.0
1679570460,82.0
1679570760,83.0
1679571060,86.0
1679571360,87.0
1679571660,89.0
1679571960,89.0
1679572260,90.0
1679572560,90.0
1679572860,90.0
1679573160,90.0
1679573460,90.0
1679573760,90.0
1679574060,90.0
1679574360,90.0
1679574660,90.0
1679574960,89.0
1679575260,88.0
1679575560,88.0
1679575860,87.0
1679576160,87.0
1679576460,88.0
1679576760,88.0
1679577060,88.0
1679577360,88.0
1679577660,88.0
1679577960,88.0
1679578260,88.0
1679578560,88.0
1679578860,89.0
1679579160,88.0
1679579460,88.0
1679579760,88.0
1679580060,88.0
1679580360,88.0
1679580660,88.0
1679580960,87.0
1679581260,87.0
1679581560,86.0
1679581860,84.0
1679582160,85.0
1679582460,86.0
1679582760,85.0
1679583060,87.0
1679583360,88.0
1679583660,88.0
1679583960,87.0
1679584260,86.0
1679584560,89.0
1679584860,89.0
1679585160,85.0
1679585460,83.0
1679585760,85.0
1679586060,85.0
1679586360,85.0
1679586660,85.0
1679586960,86.0
1679587260,88.0
1679587560,89.0
1679587860,94.0
1679588160,107.0
1679588460,117.0
1679588760,125.0
1679589060,134.0
1679589360,140.0
1679589660,142.0
1679589960,138.0
1679590260,133.0
1679590560,127.0
1679590860,120.0
1679591160,112.0
1679591460,104.0
1679591760,98.0
1679592060,94.0
1679592360,92.0
1679592660,90.0
1679592960,89.0
1679593260,91.0
1679593560,92.0
1679593860,88.0
1679594160,86.0
1679594460,89.0
1679594760,93.0
1679595060,95.0
1679595360,98.0
1679595660,102.0
1679595960,104.0
1679596260,102.0
1679596560,99.0
1679596860,95.0
1679597160,90.0
1679597460,87.0
1679597760,84.0
1679598060,84.0
1679598360,85.0
1679598660,84.0
1679598960,85.0
1679599260,87.0
1679599560,87.0
1679599860,89.0
1679600160,88.0
1679600460,87.0
1679600760,89.0
1679601060,89.0
1679601360,89.0
1679601660,89.0
1679601960,90.0
1679602260,89.0
1679602560,87.0
1679602860,88.0
1679603160,88.0
1679603460,86.0
1679603760,86.0
1679604060,86.0
1679604360,86.0
1679604660,88.0
1679604960,87.0
1679605260,89.0
1679605560,89.0
1679605860,89.0
1679606160,87.0
1679606460,87.0
1679606760,86.0
1679607060,85.0
1679607360,85.0
1679607660,84.0
1679607960,84.0
1679608260,84.0
1679608560,84.0
1679608860,83.0
1679609160,83.0
1679609460,82.0
1679609760,83.0
1679610060,83.0
1679610360,83.0
1679610660,83.0
1679610960,83.0
1679611260,83.0
1679611560,82.0
1679611860,81.0
1679612160,82.0
1679612460,82.0
1679612760,82.0
1679613060,81.0
1679613360,82.0
1679613660,82.0
1679613960,82.0
1679614260,83.0
1679614560,82.0
1679614860,82.0
1679615160,83.0
1679615460,82.0
1679615760,85.0
1679616060,86.0
1679616360,86.0
1679616660,86.0
1679616960,81.0
1679617260,79.0
1679617560,80.0
1679617860,80.0
1679618160,78.0
1679618460,79.0
1679618760,79.0
1679619060,79.0
1679619360,81.0
1679619660,79.0
1679619960,79.0
1679620260,79.0
1679620560,78.0
1679620860,79.0
1679621160,79.0
1679621460,81.0
1679621760,79.0
1679622060,76.0
1679622360,76.0
1679622660,70.0
1679622960,59.0
1679623260,58.0
1679623560,57.0
1679623860,55.0
1679624160,71.0
1679624460,82.0
1679624760,86.0
1679625060,86.0
1679625360,84.0
1679625660,86.0
1679625960,75.0
1679626260,67.0
1679626560,64.0
1679626860,64.0
1679627160,64.0
1679627460,63.0
1679627760,64.0
1679628060,66.0
1679628360,66.0
1679628660,72.0
1679628960,76.0
1679629260,75.0
1679629560,74.0
1679629860,76.0
1679630160,74.0
1679630460,65.0
1679630760,62.0
1679631060,68.0
1679631360,64.0
1679631660,61.0
1679631960,61.0
1679632260,61.0
1679632560,61.0
1679632860,60.0
1679633160,65.0
1679633460,65.0
1679633760,63.0
1679634060,66.0
1679634360,73.0
1679634660,74.0
1679634960,69.0
1679635260,71.0
1679635560,77.0
1679635860,75.0
1679636160,73.0
1679636460,72.0
1679636760,74.0
1679637060,73.0
1679637360,71.0
1679637660,75.0
1679637960,77.0
1679638260,76.0
1679638560,74.0
1679638860,72.0
1679639160,68.0
1679639460,62.0
1679639760,57.0
1679640060,59.0
1679640360,65.0
1679640660,64.0
1679640960,70.0
1679641260,75.0
1679641560,83.0
1679641860,82.0
1679642160,77.0
1679642460,82.0
1679642760,81.0
1679643060,83.0
1679643360,84.0
1679643660,86.0
1679643960,86.0
1679644260,86.0
1679644560,88.0
1679644860,92.0
1679645160,96.0
1679645460,102.0
1679645760,112.0
1679646060,120.0
1679646360,128.0
1679646660,137.0
1679646960,141.0
1679647260,136.0
1679647560,139.0
1679647860,145.0
1679648160,154.0
1679648460,163.0
1679648760,168.0
1679649060,170.0
1679649360,168.0
1679649660,162.0
1679649960,150.0
1679650260,137.0
1679650560,124.0
1679650860,114.0
1679651160,107.0
1679651460,105.0
1679651760,108.0
1679652060,108.0
1679652360,109.0
1679652660,111.0
1679652960,109.0
1679653260,111.0
1679653560,114.0
1679653860,116.0
1679654160,118.0
1679654460,118.0
1679654760,115.0
1679655060,111.0
1679655360,102.0
1679655660,92.0
1679655960,83.0
1679656260,76.0
1679656560,71.0
1679656860,68.0
1679657160,67.0
1679657460,69.0
1679657760,71.0
1679658060,73.0
1679658360,74.0
1679658660,76.0
1679658960,77.0
1679659260,78.0
1679659560,79.0
1679659860,80.0
1679660160,81.0
1679660460,82.0
1679660760,85.0
1679661060,84.0
1679661360,85.0
1679661660,86.0
1679661960,86.0
1679662260,86.0
1679662560,85.0
1679662860,84.0
1679663160,84.0
1679663460,84.0
1679663760,83.0
1679664060,83.0
1679664360,83.0
1679664660,83.0
1679664960,83.0
1679665260,83.0
1679665560,83.0
1679665860,84.0
1679666160,83.0
1679666460,84.0
1679666760,84.0
1679667060,84.0
1679667360,84.0
1679667660,84.0
1679667960,84.0
1679668260,81.0
1679668560,81.0
1679668860,82.0
1679669160,80.0
1679669460,80.0
1679669760,81.0
